Age group,Deaths,Sex,total_deaths
0-4,2051,Male,3655
5-9,275,Male,481
10-14,352,Male,618
15-19,1084,Male,1460
20-24,1568,Male,2083
25-29,1647,Male,2339
30-34,2165,Male,3176
35-39,3162,Male,4632
40-44,4350,Male,6417
45-49,5682,Male,8589
50-54,7698,Male,11865
55-59,10286,Male,15909
60-64,13127,Male,21028
65-69,14325,Male,23650
70-74,14446,Male,24989
75-79,13446,Male,24465
80-84,11476,Male,23434
>= 85,10650,Male,27735
0-4,1604,Female,3655
5-9,206,Female,481
10-14,266,Female,618
15-19,376,Female,1460
20-24,515,Female,2083
25-29,692,Female,2339
30-34,1011,Female,3176
35-39,1470,Female,4632
40-44,2067,Female,6417
45-49,2907,Female,8589
50-54,4167,Female,11865
55-59,5623,Female,15909
60-64,7901,Female,21028
65-69,9325,Female,23650
70-74,10543,Female,24989
75-79,11019,Female,24465
80-84,11958,Female,23434
>= 85,17085,Female,27735
