State,Administrative district,Crude death rate,state_id
Johor,,6.28 ,JHR
Johor,Batu Pahat,7.57 ,JHR
Johor,Johor Bahru,4.63 ,JHR
Johor,Kluang,7.46 ,JHR
Johor,Kota Tinggi,8.55 ,JHR
Johor,Mersing,8.84 ,JHR
Johor,Muar,7.19 ,JHR
Johor,Pontian,8.80 ,JHR
Johor,Segamat,9.61 ,JHR
Johor,Kulai,4.89 ,JHR
Johor,Tangkak,7.45 ,JHR
,,,
Kedah,,8.15 ,KDH
Kedah,Baling,10.29 ,KDH
Kedah,Bandar Baharu,10.19 ,KDH
Kedah,Kota Setar,8.99 ,KDH
Kedah,Kuala Muda,6.94 ,KDH
Kedah,Kubang Pasu,8.15 ,KDH
Kedah,Kulim,6.49 ,KDH
Kedah,Langkawi,6.63 ,KDH
Kedah,Padang Terap,9.88 ,KDH
Kedah,Sik,10.53 ,KDH
Kedah,Yan,7.46 ,KDH
Kedah,Pendang,11.36 ,KDH
Kedah,Pokok Sena,10.34 ,KDH
,,,
Kelantan,,7.34 ,KTN
Kelantan,Bachok,7.17 ,KTN
Kelantan,Kota Bharu,7.05 ,KTN
Kelantan,Machang,7.75 ,KTN
Kelantan,Pasir Mas,7.95 ,KTN
Kelantan,Pasir Puteh,8.60 ,KTN
Kelantan,Tanah Merah,7.07 ,KTN
Kelantan,Tumpat,7.35 ,KTN
Kelantan,Gua Musang,5.18 ,KTN
Kelantan,Kuala Krai,8.83 ,KTN
Kelantan,Jeli,6.40 ,KTN
Kelantan,Kecil Lojing,7.02 ,KTN
,,,
Melaka,,6.57 ,MLK
Melaka,Alor Gajah,6.62 ,MLK
Melaka,Jasin,8.45 ,MLK
Melaka,Melaka Tengah,6.07 ,MLK
,,,
Negeri Sembilan,,7.15 ,NSN
Negeri Sembilan,Jelebu,9.77 ,NSN
Negeri Sembilan,Kuala Pilah,11.53 ,NSN
Negeri Sembilan,Port Dickson,7.24 ,NSN
Negeri Sembilan,Rembau,9.25 ,NSN
Negeri Sembilan,Seremban,5.73 ,NSN
Negeri Sembilan,Tampin,9.00 ,NSN
Negeri Sembilan,Jempol,9.37 ,NSN
,,,
Pahang,,6.83 ,PHG
Pahang,Bentong,7.83 ,PHG
Pahang,Cameron Highlands,5.52 ,PHG
Pahang,Jerantut,8.12 ,PHG
Pahang,Kuantan,4.82 ,PHG
Pahang,Lipis,6.83 ,PHG
Pahang,Pekan,7.47 ,PHG
Pahang,Raub,8.11 ,PHG
Pahang,Temerloh,8.23 ,PHG
Pahang,Rompin,8.57 ,PHG
Pahang,Maran,9.11 ,PHG
Pahang,Bera,7.32 ,PHG
,,,
Perak,,8.89 ,PRK
Perak,Batang Padang,9.25 ,PRK
Perak,Manjung,7.87 ,PRK
Perak,Kinta,7.67 ,PRK
Perak,Kerian,10.83 ,PRK
Perak,Kuala Kangsar,10.50 ,PRK
Perak,Larut & Matang,10.33 ,PRK
Perak,Hilir Perak,10.01 ,PRK
Perak,Hulu Perak,9.74 ,PRK
Perak,Perak Tengah,9.58 ,PRK
Perak,Kampar,10.84 ,PRK
Perak,Muallim,5.35 ,PRK
Perak,Bagan Datuk,8.29 ,PRK
Perak,Selama,12.24 ,PRK
,,,
Perlis,Perlis,8.36 ,PLS
,,,
Pulau Pinang,,7.42 ,PNG
Pulau Pinang,Seberang Perai Tengah,6.71 ,PNG
Pulau Pinang,Seberang Perai Utara,7.42 ,PNG
Pulau Pinang,Seberang Perai Selatan,7.86 ,PNG
Pulau Pinang,Timur Laut,8.24 ,PNG
Pulau Pinang,Barat Daya,6.45 ,PNG
,,,
Sabah,,5.09 ,SBH
Sabah,Tawau,4.40 ,SBH
Sabah,Lahad Datu,3.76 ,SBH
Sabah,Semporna,4.72 ,SBH
Sabah,Sandakan,4.05 ,SBH
Sabah,Kinabatangan,1.93 ,SBH
Sabah,Beluran,3.96 ,SBH
Sabah,Kota Kinabalu,4.13 ,SBH
Sabah,Ranau,6.57 ,SBH
Sabah,Kota Belud,7.50 ,SBH
Sabah,Tuaran,7.31 ,SBH
Sabah,Penampang,5.20 ,SBH
Sabah,Papar,6.37 ,SBH
Sabah,Kudat,6.96 ,SBH
Sabah,Kota Marudu,8.11 ,SBH
Sabah,Pitas,8.50 ,SBH
Sabah,Beaufort,9.58 ,SBH
Sabah,Kuala Penyu,11.66 ,SBH
Sabah,Sipitang,8.26 ,SBH
Sabah,Tenom,9.21 ,SBH
Sabah,Nabawan,5.06 ,SBH
Sabah,Keningau,5.42 ,SBH
Sabah,Tambunan,9.19 ,SBH
Sabah,Kunak,4.04 ,SBH
Sabah,Tongod,3.13 ,SBH
Sabah,Putatan,4.84 ,SBH
Sabah,Telupid,4.33 ,SBH
Sabah,Kalabakan,2.02 ,SBH
,,,
Sarawak,,6.72 ,SWK
Sarawak,Kuching,5.75 ,SWK
Sarawak,Bau,8.42 ,SWK
Sarawak,Lundu,8.26 ,SWK
Sarawak,Samarahan,2.44 ,SWK
Sarawak,Serian,8.08 ,SWK
Sarawak,Simunjan,9.72 ,SWK
Sarawak,Sri Aman,9.47 ,SWK
Sarawak,Lubok Antu,10.62 ,SWK
Sarawak,Betong,10.60 ,SWK
Sarawak,Saratok,10.33 ,SWK
Sarawak,Sarikei,9.03 ,SWK
Sarawak,Maradong,11.96 ,SWK
Sarawak,Daro,8.98 ,SWK
Sarawak,Julau,9.04 ,SWK
Sarawak,Sibu,6.70 ,SWK
Sarawak,Dalat,10.38 ,SWK
Sarawak,Mukah,7.76 ,SWK
Sarawak,Kanowit,14.34 ,SWK
Sarawak,Bintulu,3.05 ,SWK
Sarawak,Tatau,5.45 ,SWK
Sarawak,Kapit,7.96 ,SWK
Sarawak,Song,14.33 ,SWK
Sarawak,Belaga,4.87 ,SWK
Sarawak,Miri,5.70 ,SWK
Sarawak,Marudi,9.99 ,SWK
Sarawak,Limbang,7.23 ,SWK
Sarawak,Lawas,7.75 ,SWK
Sarawak,Matu,8.79 ,SWK
Sarawak,Asajaya,8.06 ,SWK
Sarawak,Pakan,9.52 ,SWK
Sarawak,Selangau,8.49 ,SWK
Sarawak,Tebedu,8.04 ,SWK
Sarawak,Pusa,7.98 ,SWK
Sarawak,Kabong,10.52 ,SWK
Sarawak,Tanjung Manis,10.19 ,SWK
Sarawak,Sebauh,6.71 ,SWK
Sarawak,Bukit Mabong,12.95 ,SWK
Sarawak,Subis,7.92 ,SWK
Sarawak,Beluru,7.17 ,SWK
Sarawak,Telang Usan,7.76 ,SWK
,,,
Selangor,,4.66 ,SGR
Selangor,Gombak,4.50 ,SGR
Selangor,Klang,5.23 ,SGR
Selangor,Kuala Langat,5.92 ,SGR
Selangor,Kuala Selangor,5.74 ,SGR
Selangor,Petaling,3.84 ,SGR
Selangor,Sabak Bernam,11.49 ,SGR
Selangor,Sepang,3.80 ,SGR
Selangor,Ulu Langat,4.62 ,SGR
Selangor,Ulu Selangor,5.98 ,SGR
,,,
Terengganu,,7.32 ,TRG
Terengganu,Besut,7.49 ,TRG
Terengganu,Dungun,7.29 ,TRG
Terengganu,Kemaman,5.89 ,TRG
Terengganu,Kuala Terengganu,9.55 ,TRG
Terengganu,Marang,7.22 ,TRG
Terengganu,Hulu Terengganu,8.95 ,TRG
Terengganu,Setiu,8.47 ,TRG
Terengganu,Kuala Nerus,4.61 ,TRG
,,,
Kuala Lumpur,W.P. Kuala Lumpur,5.08 ,KUL
,,,
Labuan,W.P. Labuan,4.05 ,LBN
,,,
Putrajaya,W.P. Putrajaya,2.16 ,PJY
